Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
27,Exit short,2024-03-26 15:00,RUN EXIT | IN:TREND | OUT:MR,5238.1,0.8,4196.16,5.68,0.14,0,22.72,0.54,-6.4,-0.15,127.18,0.13,59
27,Entry short,2024-03-22 01:00,MR-S | IN:TREND,5245.2,0.8,4196.16,5.68,0.14,0,22.72,0.54,-6.4,-0.15,127.18,0.13,59
28,Exit long,2024-03-27 21:00,MR FAIL | IN:MR | OUT:MR,5219.1,1,5234.1,-15,-0.29,0,5.2,0.10,-17.3,-0.33,112.18,0.11,2
28,Entry long,2024-03-27 19:00,MR-L | IN:MR,5234.1,1,5234.1,-15,-0.29,0,5.2,0.10,-17.3,-0.33,112.18,0.11,2
29,Exit long,2024-03-28 03:00,MR TP1 | IN:MR | OUT:MR,5254.8,0.2,1051.02,-0.06,-0.01,0,0.7,0.07,-0.36,-0.03,112.12,0.11,1
29,Entry long,2024-03-28 02:00,MR-L | IN:MR,5255.1,0.2,1051.02,-0.06,-0.01,0,0.7,0.07,-0.36,-0.03,112.12,0.11,1
30,Exit long,2024-04-01 19:00,RUN EXIT | IN:MR | OUT:HYBRID,5264.1,0.8,4204.08,7.2,0.17,0,21.6,0.51,-6.88,-0.16,119.32,0.12,39
30,Entry long,2024-03-28 02:00,MR-L | IN:MR,5255.1,0.8,4204.08,7.2,0.17,0,21.6,0.51,-6.88,-0.16,119.32,0.12,39
31,Exit long,2024-04-04 15:00,MR TP1 | IN:HYBRID | OUT:HYBRID,5231.3,0.2,1039.72,6.54,0.63,0,7.28,0.70,-0.74,-0.07,125.86,0.13,22
31,Entry long,2024-04-03 16:00,MR-L | IN:HYBRID,5198.6,0.2,1039.72,6.54,0.63,0,7.28,0.70,-0.74,-0.07,125.86,0.13,22
32,Exit long,2024-04-05 02:00,RUN EXIT | IN:HYBRID | OUT:TREND,5148.3,0.8,4158.88,-40.24,-0.97,0,48.16,1.16,-42.88,-1.03,85.62,0.09,33
32,Entry long,2024-04-03 16:00,MR-L | IN:HYBRID,5198.6,0.8,4158.88,-40.24,-0.97,0,48.16,1.16,-42.88,-1.03,85.62,0.09,33
33,Exit long,2024-04-08 15:00,MR TP1 | IN:TREND | OUT:HYBRID,5198.1,0.2,1044.52,-4.9,-0.47,0,0.2,0.02,-6.8,-0.65,80.72,0.08,15
33,Entry long,2024-04-05 23:00,MR-L | IN:TREND,5222.6,0.2,1044.52,-4.9,-0.47,0,0.2,0.02,-6.8,-0.65,80.72,0.08,15
34,Exit long,2024-04-09 17:00,RUN EXIT | IN:TREND | OUT:MR,5203.7,0.8,4178.08,-15.12,-0.36,0,0.8,0.02,-27.2,-0.65,65.6,0.07,40
34,Entry long,2024-04-05 23:00,MR-L | IN:TREND,5222.6,0.8,4178.08,-15.12,-0.36,0,0.8,0.02,-27.2,-0.65,65.6,0.07,40
35,Exit short,2024-04-10 01:00,MR TP1 | IN:MR | OUT:MR,5185.2,0.2,1034.88,-2.16,-0.21,0,0.64,0.06,-4.66,-0.45,63.44,0.06,4
35,Entry short,2024-04-09 21:00,MR-S | IN:MR,5174.4,0.2,1034.88,-2.16,-0.21,0,0.64,0.06,-4.66,-0.45,63.44,0.06,4
