Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
178,Exit long,2026-01-02 06:00,MR TP1 | IN:MR | OUT:MR,1.61188,0.2,0.322008,0.0004,0.11,0,0.001,0.19,-0.00004,-0.01,-0.11,0.00,6
178,Entry long,2026-01-01 00:00,MR-L | IN:MR,1.61004,0.2,0.322008,0.0004,0.11,0,0.001,0.19,-0.00004,-0.01,-0.11,0.00,6
179,Exit long,2026-01-02 18:00,RUN EXIT | IN:MR | OUT:MR,1.60893,0.8,1.288032,-0.001,-0.07,0,0.002,0.19,-0.002,-0.17,-0.11,0.00,18
179,Entry long,2026-01-01 00:00,MR-L | IN:MR,1.61004,0.8,1.288032,-0.001,-0.07,0,0.002,0.19,-0.002,-0.17,-0.11,0.00,18
180,Exit short,2026-01-05 09:00,MR TP1 | IN:MR | OUT:MR,1.60714,0.2,0.321824,0.0004,0.12,0,0.001,0.16,-0.0004,-0.14,-0.11,0.00,6
180,Entry short,2026-01-03 03:00,MR-S | IN:MR,1.60912,0.2,0.321824,0.0004,0.12,0,0.001,0.16,-0.0004,-0.14,-0.11,0.00,6
181,Exit short,2026-01-05 23:00,RUN EXIT | IN:MR | OUT:MR,1.61163,0.8,1.287296,-0.002,-0.16,0,0.002,0.17,-0.002,-0.17,-0.11,0.00,20
181,Entry short,2026-01-03 03:00,MR-S | IN:MR,1.60912,0.8,1.287296,-0.002,-0.16,0,0.002,0.17,-0.002,-0.17,-0.11,0.00,20
182,Exit short,2026-01-07 07:00,MR FAIL | IN:MR | OUT:MR,1.61554,1,1.61179,-0.004,-0.23,0,0.001,0.07,-0.004,-0.27,-0.11,0.00,10
182,Entry short,2026-01-06 21:00,MR-S | IN:MR,1.61179,1,1.61179,-0.004,-0.23,0,0.001,0.07,-0.004,-0.27,-0.11,0.00,10
183,Exit short,2026-01-08 02:00,MR FAIL | IN:MR | OUT:MR,1.61737,1,1.61377,-0.004,-0.22,0,0.002,0.11,-0.004,-0.23,-0.12,0.00,8
183,Entry short,2026-01-07 18:00,MR-S | IN:MR,1.61377,1,1.61377,-0.004,-0.22,0,0.002,0.11,-0.004,-0.23,-0.12,0.00,8
184,Exit short,2026-01-09 18:00,MR TP1 | IN:MR | OUT:MR,1.61539,0.2,0.323332,0.0003,0.08,0,0.0004,0.14,-0.0001,-0.04,-0.12,0.00,20
